vertical,city,businessName,phone,address,rating,reviewCount,website,company_number,company_name,company_status,company_type,incorporation_date,sic_codes,registered_address,directors,directors_count,psc_names,total_filings,filing_types,last_filing,company_age_days,is_active,has_charges,has_insolvency
dog_groomers,Manchester,J.C Pets pamper & Groom,07769 721750,"95 Vine St, Abbey Hey, Manchester, M18 8SR",4.8,18,,08534622,PAMPERED PETS GROOMING ACADEMY LTD,active,ltd,2013-05-17,85590,173 Wolverhampton Road Walsall WS3 4AD,"WILKES, Samantha Jayne (since 2015-03-06); KAHAN, Barbara (since 2013-05-17); WATKISS, Abigail Jayne (since 2013-05-17)",3,Mrs Samantha Jayne Wilkes,25,"{""confirmation-statement"": 10, ""persons-with-significant-control"": 3, ""accounts"": 11, ""annual-return"": 1}",2026-06-19,4877,1,0,0
dog_groomers,Manchester,Puppy Power Mobile Dog Grooming,07926 523732,"3 Imperial Wy, Manchester, M9 8GQ",4.3,44,,13855651,PUPPY POWER DOG WALKING LTD,dissolved,ltd,2022-01-18,96090,"Ag01, 30, Carmine Wharf Copenhagen Place London E14 7FE","HOLLINGSWORTH, Holly Galea (since 2022-01-18)",1,Holly Galea Hollingsworth,3,"{""gazette"": 2, ""incorporation"": 1}",2023-06-27,1709,0,0,0
dog_groomers,Manchester,Pups & Dreams Spa & Academy Ltd Denton,07592 222056,"65 Manchester Rd, Denton, Manchester, M34 2AF",4.9,226,http://www.pupsanddreams.co.uk/,16363306,PUPS & DREAMS SPA & ACADEMY LIMITED,active,ltd,2025-04-03,96090,28-30 Wilbraham Road Manchester M14 7DW,"CLEWLOW, Emily Joanna (since 2025-04-03); MONTGOMERY, Megan Rebeka (since 2025-04-03)",2,Ms Megan Rebeka Montgomery; Ms Emily Joanna Clewlow,5,"{""accounts"": 1, ""confirmation-statement"": 1, ""change-of-name"": 1, ""officers"": 1, ""incorporation"": 1}",2026-07-02,538,1,0,0
dog_groomers,Manchester,Woof To Wag,07963 592498,"59 Doncaster Ave, Withington, Manchester, M20 1DH",5,11,,14509940,WAG & WOOF LTD,active,ltd,2022-11-28,47760,Stratford Garden Centre Stratford Upon Avon CV37 8LW,"AHMED, Nurun Nessa (since 2022-11-28); CARDWELL, Gemma Louise (since 2022-11-28)",2,Miss Nurun Nessa Ahmed,11,"{""accounts"": 3, ""confirmation-statement"": 4, ""persons-with-significant-control"": 1, ""officers"": 2, ""incorporation"": 1}",2026-08-27,1395,1,0,0
dog_groomers,Manchester,Garside’s Grooming,07356 216900,"3 Burgess Dr, Failsworth, Manchester, M35 0EU",5,29,https://www.instagram.com/garsidesgrooming?igsh=MXEyc2JxbHZub3RxeA==,14897056,A&C GROOMING LOUNGE LTD,active,ltd,2023-05-26,96020,60 Millmead Business Centre London N17 9QU,"FIRAT, Caglayan (since 2023-05-26); KANIDAGLI, Ali (since 2023-05-26)",2,Mr Caglayan Firat,8,"{""accounts"": 2, ""confirmation-statement"": 3, ""officers"": 1, ""persons-with-significant-control"": 1, ""incorporation"": 1}",2026-05-30,1216,1,0,0
dog_groomers,Manchester,Scruffy to Fluffy,07526 141800,"166 Nuthurst Rd, New Moston, Manchester, M40 3WG",4.6,30,,06002597,SCRUFFY TO FLUFFY LIMITED,active,ltd,2006-11-20,96090,"6 Kestrel Cl, Patchway South Glost BS34 5RX","WILLIAMS, Kim Victoria (since 2007-02-20)",1,Mrs Kim Victoria Williams,25,"{""accounts"": 12, ""confirmation-statement"": 10, ""officers"": 2, ""annual-return"": 1}",2026-08-03,7247,1,0,0
dog_groomers,Manchester,Loubie Lou’s Dog Grooming,07494 755736,"444 Hollinwood Ave, Manchester, M40 0JH",5,21,,09452649,AIDNEYS P.A.W.S DOG GROOMING LTD,active,ltd,2015-02-23,96090,435 Watling Street Tamworth B78 3ND,"AIDNEY, Martyn Joseph Edwin (since 2021-04-25); AIDNEY, Sheryl Louise (since 2015-02-23)",2,Mr Martyn Joseph Edwin Aidney,25,"{""confirmation-statement"": 9, ""accounts"": 11, ""persons-with-significant-control"": 3, ""officers"": 2}",2026-01-31,4230,1,0,0
dog_groomers,Manchester,Cooper & Paws,07897 751787,"77b Long St, Middleton, Manchester, M24 6UN",4.9,80,https://www.facebook.com/Cooperandpaws,15753859,A CAUSE FOR CLAWS & PAWS LTD,dissolved,private-limited-guarant-nsc,2024-06-01,96090,75 Falling Lane West Drayton UB7 8AB,"COMAN, Paul-Florin (since 2024-06-01); OLTIANU, Mihaela-Carmen (since 2024-06-01)",2,Ms Mihaela-Carmen Oltianu; Paul-Florin Coman,3,"{""gazette"": 2, ""incorporation"": 1}",2025-11-04,844,0,0,0
cleaners,Manchester,Manchester House Cleaning Services,0161 676 2888,"61 Mosley St, Manchester, M2 3HZ",4.9,201,https://www.manchesterhousecleaningservices.co.uk/,14648067,MANCHESTER HOUSE CLEANING SERVICES LTD,active,ltd,2023-02-08,81299,61 Mosley Street Manchester M2 3HZ,"PETKOVA, Silvia Konstantinova (since 2023-02-28); PETKOVA, Silvia Konstantinova (since 2023-02-08)",2,Ms Silvia Konstantinova Petkova,15,"{""confirmation-statement"": 3, ""accounts"": 2, ""officers"": 4, ""persons-with-significant-control"": 1, ""address"": 4, ""incorporation"": 1}",2026-02-10,1323,1,0,0
cleaners,Manchester,Cleaner in Manchester (0161) Ltd,0161 710 4789,"St James Tower, 7 Charlotte St, Manchester, M1 4DZ",4.9,29,https://0161cleanerinmanchester.co.uk/,16859530,CLEANER IN MANCHESTER 0161 LTD,active,ltd,2025-11-17,"81210,81299","Cleaner In Manchester (0161), St James Tower, Manchester M1 4DZ","GANZ, Andrew (since 2025-11-17)",1,Andrew Ganz,1,"{""incorporation"": 1}",2025-11-17,310,1,0,0
cleaners,Manchester,Cleaners With Pride,07840 017649,"23 Pattishall Cl, Manchester, M4 7DU",4.9,804,https://www.cleanerswithpride.co.uk/,12648315,CLEANERS WITH PRIDE LTD,active,ltd,2020-06-05,81210,93a Church Road Preston PR4 6UP,"WILLIAMS, Kevin (since 2020-06-05)",1,Mr Kevin Williams,25,"{""confirmation-statement"": 6, ""accounts"": 6, ""address"": 5, ""persons-with-significant-control"": 4, ""officers"": 4}",2026-06-18,2301,1,0,0
cleaners,Manchester,Best Cleaners LTD,07352 003376,"Connecticut Street, Manchester, M1 1AD",5,39,https://bestcleanersltd.uk/,15003607,BEST CLEANERS LTD,dissolved,ltd,2023-07-14,81210,2nd Floor Sterling House Loughton IG10 3TS,"INNISS, Donovan Reuben (since 2025-10-10); BAKER, Simone (since 2023-12-01); FANNON, Anthony Michael (since 2023-07-14); GROMAN-MARKS, Basya Shoshan (since 2023-12-10); LINCOLN, Ian (since 2024-09-17)",5,Mr Ian Lincoln,21,"{""gazette"": 4, ""officers"": 8, ""confirmation-statement"": 3, ""dissolution"": 1, ""accounts"": 1, ""persons-with-significant-control"": 2, ""address"": 1, ""incorporation"": 1}",2026-07-07,1167,0,0,0
cleaners,Manchester,Kinderlee Cleaning,0161 438 6021,"The business Centre, Aldow Enterprise Park, Piccadilly, Blackett St, Manchester M12 6AE",5,110,http://www.kinderleecleaning.co.uk/,09347946,KINDERLEE MILL (CHISWORTH) MANAGEMENT COMPANY LIMITED,active,private-limited-guarant-nsc,2014-12-09,98000,Offices 7-9 The Old Printshop Bowden Lane Stockport SK6 6NE,"BRADY, Dean Robert (since 2020-07-16); BRIGHTMORE, David James (since 2020-07-16); CLINCH, John Gerard (since 2020-07-27); BATEMAN, Lynn (since 2020-07-16); HERBERT, Justin William (since 2018-08-14); MOORS, Marianne (since 2020-07-16); STOCKTON, John Thomas (since 2021-06-27); STORER, Simon Roger (since 2014-12-09); WOODWARD, Terence Henry (since 2020-07-16)",9,,25,"{""accounts"": 5, ""confirmation-statement"": 6, ""officers"": 12, ""address"": 2}",2026-01-02,4306,1,0,0
cleaners,Manchester,FirstMaid Cleaners,,"83 Ducie St, Manchester, M1 2JQ",4.3,185,https://firstmaid.co.uk/,09043151,FIRSTMAID COMMERCIAL LTD.,dissolved,ltd,2014-05-16,81299,9 Bishops Close Poulton-Le-Fylde FY6 7GF,"ZAPOROWSKI, Pawel (since 2014-05-16); SNEE, Dean (since 2014-05-16)",2,Mr Dean Snee; Mr Pawel Zaporowski,24,"{""gazette"": 2, ""dissolution"": 1, ""accounts"": 7, ""confirmation-statement"": 4, ""persons-with-significant-control"": 3, ""officers"": 2, ""address"": 2, ""annual-return"": 2, ""incorporation"": 1}",2021-08-10,4513,0,0,0
cleaners,Manchester,Ivory Cleaning Company,0161 393 9247,"Bartle House, Oxford Rd, Manchester, M2 3WQ",5,18,https://www.ivorycleaning.co.uk/,17399441,OAK AND IVORY CLEANING COMPANY LTD,active,ltd,2026-08-13,81210,Enterprise House Rippers Court Halstead CO9 3PY,"ADAMS, Piers Russell (since 2026-08-13); FRENCH, Kelly Jayne (since 2026-08-13)",2,Mr Piers Russell Adams; Ms Kelly Jayne French,1,"{""incorporation"": 1}",2026-08-13,41,1,0,0
cleaners,Manchester,Frontline Cleaners Manchester.,07513 442399,"Bartle House, 9 Oxford Ct, Manchester, M2 3WQ",4.8,51,http://frontlineexpress.co.uk/,14792342,FRONTLINE CLEANERS EXPRESS LTD,dissolved,ltd,2023-04-11,81210,Bartle House Manchester M2 3WQ,"LUTUNDULA, Christophe Mutumbo (since 2023-04-11)",1,Mr Christophe Mutumbo Lutundula,18,"{""gazette"": 2, ""dissolution"": 1, ""accounts"": 2, ""officers"": 4, ""persons-with-significant-control"": 2, ""confirmation-statement"": 2, ""address"": 4, ""incorporation"": 1}",2026-08-18,1261,0,0,0
cleaners,Manchester,D Deep cleaning Services ltd,07459 416262,"48a Gill St, Manchester, M9 4FZ",4.8,89,https://www.ddeepcleaningservices.com/,13604500,D DEEP CLEANING SERVICES LTD,active,ltd,2021-09-06,"38110,81210",119 119 Higher Antley St Accrington BB5 0QH,"DARKO, Dennis (since 2021-09-06)",1,Mr Dennis Darko,18,"{""gazette"": 3, ""confirmation-statement"": 5, ""address"": 2, ""dissolution"": 1, ""accounts"": 3, ""officers"": 1, ""persons-with-significant-control"": 2, ""incorporation"": 1}",2026-09-01,1843,1,0,0
cleaners,Manchester,AJOL Cleaning Services Manchester,07493 253331,"66B Floyd Ave, Manchester, M21 7NB",4.6,29,http://www.ajolcleaningservices.co.uk/,11173615,AJOL CLEANING SERVICES LIMITED,dissolved,ltd,2018-01-29,81299,99 Wellington Road North Stockport SK4 2LP,"JORDAN, Albert Mcdonald (since 2018-01-29)",1,,0,{},,3159,0,0,0
